writer,born,alive,country
Josephine Tey,1896,1952,UK
Johan Theorin,1963,a,Sweden
Paul and Mabel Thorneearly,19??,a,US
Masako Togawa,1931,2016,Japan
M J Trow,1949,a,UK
Margaret Truman,1924,2008,US
James Twining,1972,a,UK
Ahmet Ümit,1960,a,Turkey
Lisa Unger,1970,a,US
Arthur Upfield,1890,1964,UK
Andrew Vachss,1942,2021,US
Edgar Wallace,1875,1932,UK
Lew Wallace,1827,1905,US
Minette Walters,1949,a,UK
Wang Shuo,1958,a,Canada
Sarah Ward,19??,a,UK
Hillary Waugh,1920,2008,US
Betty Webb,19??,a,US
Charlie Wells,1923,2004,US
Jeri Westerson,1960,a,US
Donald E Westlake,1933,2008,US
Patricia Wentworth,1877,1961,UK
Ethel Lina White,1876,1944,UK
Collin Wilcox,1924,1996,US
Charles Willeford,1919,1998,US
Leslie Wolfe,1967,a,US
Cornell Woolrich,1903,1968,US
Dornford Yates,1885,1960,UK
Seishi Yokomizo,1902,1981,Japan
Hideo Yokoyama,1957,a,Japan
Shuichi Yoshida,1968,a,Japan
Yumeno Kyūsaku,1889,1936,Japan
Helen Zahavi,1966,a,UK
Michael Bar Zohar,1938,a,Israel
